,equipo,puntos,golesFavor,golesEnContra,partidos,ganados,empatados,perdidos,diferenciaGoles,ganadosLocal,ganadosVisitante,empatadosLocal,empatadosVisitante,perdidosLocal,perdidosVisitante,torneo
0,Boca Juniors,51,42,18,25,11,6,8,24,9,6,1,5,2,2,Liga Profesional Argentina 2019
1,Talleres Córdoba,33,25,24,25,8,6,11,1,4,5,4,2,4,6,Liga Profesional Argentina 2019
2,Independiente,38,35,28,25,10,8,7,7,7,3,2,6,3,4,Liga Profesional Argentina 2019
3,San Martín Tucumán,23,25,38,25,6,11,8,-13,2,2,7,4,4,6,Liga Profesional Argentina 2019
4,Lanús,34,27,32,25,11,7,7,-5,7,2,2,5,4,5,Liga Profesional Argentina 2019
5,Defensa y Justicia,53,33,18,25,8,8,9,15,7,8,4,4,1,1,Liga Profesional Argentina 2019
6,Vélez Sarsfield,40,34,25,25,10,7,8,9,8,3,3,4,2,5,Liga Profesional Argentina 2019
7,Newell's Old Boys,29,26,23,25,8,8,9,3,6,1,4,4,2,8,Liga Profesional Argentina 2019
8,Patronato,26,29,37,25,9,5,11,-8,6,1,4,1,3,10,Liga Profesional Argentina 2019
9,Colón,23,21,33,25,5,11,9,-12,4,0,7,4,1,9,Liga Profesional Argentina 2019
10,Belgrano,24,16,23,25,7,12,6,-7,4,0,6,6,3,6,Liga Profesional Argentina 2019
11,San Martín San Juan,25,24,34,25,10,7,8,-10,5,1,2,5,5,7,Liga Profesional Argentina 2019
12,CA Huracán,35,28,28,25,8,8,9,0,5,4,5,3,3,5,Liga Profesional Argentina 2019
13,River Plate,45,42,21,25,11,6,8,21,7,6,2,4,4,2,Liga Profesional Argentina 2019
14,Gimnasia La Plata,29,21,32,25,11,5,9,-11,7,1,2,3,4,8,Liga Profesional Argentina 2019
15,Argentinos Juniors,22,15,28,25,9,7,9,-13,2,3,3,4,7,6,Liga Profesional Argentina 2019
16,Tigre,36,39,42,25,5,9,11,-3,3,6,7,2,2,5,Liga Profesional Argentina 2019
17,San Lorenzo,23,21,30,25,5,14,6,-9,2,1,7,7,3,5,Liga Profesional Argentina 2019
18,Rosario Central,26,16,26,25,9,8,8,-10,4,2,4,4,5,6,Liga Profesional Argentina 2019
19,Banfield,29,27,31,25,6,11,8,-4,3,3,6,5,3,5,Liga Profesional Argentina 2019
20,Atl.Tucumán,42,36,29,25,8,6,11,7,6,6,4,2,2,5,Liga Profesional Argentina 2019
21,Racing Club,57,43,16,25,10,6,9,27,10,7,3,3,0,2,Liga Profesional Argentina 2019
22,Godoy Cruz,32,23,30,25,11,5,9,-7,7,2,2,3,4,7,Liga Profesional Argentina 2019
23,Estudiantes La Plata,29,21,25,25,8,8,9,-4,5,2,4,4,3,7,Liga Profesional Argentina 2019
24,Unión Santa Fe,36,29,24,25,9,9,7,5,5,4,4,5,4,3,Liga Profesional Argentina 2019
25,Aldosivi,33,21,24,25,10,6,9,-3,6,3,3,3,4,6,Liga Profesional Argentina 2019
