,equipo,puntos,golesFavor,golesEnContra,partidos,ganados,empatados,perdidos,diferenciaGoles,ganadosLocal,ganadosVisitante,empatadosLocal,empatadosVisitante,perdidosLocal,perdidosVisitante,torneo
0,Aldosivi,25,15,40,30,11,10,9,-25,3,2,4,6,8,7,Liga Profesional Argentina 2017
1,Colón,49,32,25,30,11,7,12,7,7,7,4,3,4,5,Liga Profesional Argentina 2017
2,River Plate,56,51,28,30,10,8,12,23,8,8,5,3,2,4,Liga Profesional Argentina 2017
3,Banfield,54,42,35,30,13,3,14,7,11,6,2,1,2,8,Liga Profesional Argentina 2017
4,Racing Club,55,51,40,30,12,4,14,11,11,6,3,1,1,8,Liga Profesional Argentina 2017
5,Talleres Córdoba,42,35,30,30,10,9,11,5,6,5,5,4,4,6,Liga Profesional Argentina 2017
6,San Lorenzo,53,46,35,30,14,5,11,11,10,6,1,4,4,5,Liga Profesional Argentina 2017
7,San Martín San Juan,33,27,40,30,12,12,6,-13,5,2,3,9,7,4,Liga Profesional Argentina 2017
8,Rosario Central,44,40,31,30,10,11,9,9,7,4,5,6,3,5,Liga Profesional Argentina 2017
9,Defensa y Justicia,49,31,23,30,11,7,12,8,8,6,4,3,3,6,Liga Profesional Argentina 2017
10,Gimnasia La Plata,43,26,24,30,11,7,12,2,6,6,4,3,5,6,Liga Profesional Argentina 2017
11,Vélez Sarsfield,37,31,40,30,12,7,11,-9,8,2,3,4,4,9,Liga Profesional Argentina 2017
12,Temperley,37,30,38,30,11,7,12,-8,7,3,4,3,4,9,Liga Profesional Argentina 2017
13,Patronato,34,30,40,30,10,10,10,-10,4,4,5,5,6,6,Liga Profesional Argentina 2017
14,Atl.Tucumán,33,34,40,30,10,9,11,-6,5,3,5,4,5,8,Liga Profesional Argentina 2017
15,Atletico Rafaela,37,31,30,30,10,7,13,1,5,5,5,2,5,8,Liga Profesional Argentina 2017
16,Sarmiento,28,31,51,30,11,7,12,-20,4,3,4,3,7,9,Liga Profesional Argentina 2017
17,Arsenal de Sarandí,27,27,50,30,12,6,12,-23,4,3,3,3,8,9,Liga Profesional Argentina 2017
18,Tigre,31,33,43,30,10,7,13,-10,5,3,5,2,5,10,Liga Profesional Argentina 2017
19,Estudiantes La Plata,56,46,26,30,12,8,10,20,11,5,3,5,1,5,Liga Profesional Argentina 2017
20,Quilmes,25,18,43,30,13,7,10,-25,6,0,2,5,7,10,Liga Profesional Argentina 2017
21,Newell's Old Boys,49,40,30,30,12,7,11,10,8,6,3,4,4,5,Liga Profesional Argentina 2017
22,Godoy Cruz,43,34,34,30,13,4,13,0,8,5,2,2,5,8,Liga Profesional Argentina 2017
23,CA Huracán,29,23,30,30,8,11,11,-7,3,3,7,4,5,8,Liga Profesional Argentina 2017
24,Belgrano,26,21,34,30,8,11,11,-13,2,3,7,4,6,8,Liga Profesional Argentina 2017
25,Independiente,53,39,23,30,7,11,12,16,4,10,8,3,3,2,Liga Profesional Argentina 2017
26,Lanús,50,36,25,30,11,8,11,11,9,5,4,4,2,6,Liga Profesional Argentina 2017
27,Boca Juniors,63,62,25,30,13,9,8,37,11,7,2,7,2,1,Liga Profesional Argentina 2017
28,Unión Santa Fe,32,25,39,30,12,8,10,-14,7,1,3,5,5,9,Liga Profesional Argentina 2017
29,Olimpo,38,37,32,30,11,11,8,5,6,3,4,7,5,5,Liga Profesional Argentina 2017
